Avg Weekday Trip OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday
Exit Station Two-Letter Code,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,PC,AN,ML,BE,
RM,23.8181818181818,75.0454545454545,66.0,34.4545454545455,296.681818181818,52.3181818181818,83.5909090909091,68.0,81.1818181818182,22.5454545454545,62.2727272727273,42.4090909090909,23.9545454545455,13.0909090909091,21.2727272727273,10.1818181818182,7.09090909090909,9.0,19.4545454545455,6.27272727272727,16.0909090909091,12.3181818181818,8.09090909090909,14.8181818181818,20.7272727272727,206.636363636364,158.818181818182,244.727272727273,168.0,109.454545454545,133.090909090909,28.3636363636364,44.2272727272727,86.4545454545455,12.7272727272727,2.0,8.40909090909091,2.77272727272727,8.77272727272727,10.1818181818182,18.6818181818182,49.3181818181818,14.1818181818182,2.72727272727273,8.31818181818182,8.40909090909091,3.90909090909091,14.0909090909091,6.31818181818182,14.5,2455.77272727273
EN,84.1363636363636,18.4090909090909,70.5454545454545,54.8181818181818,468.045454545455,82.9090909090909,130.090909090909,148.909090909091,216.727272727273,51.0,90.1818181818182,51.1363636363636,38.2272727272727,22.2272727272727,37.4090909090909,16.2272727272727,15.2727272727273,18.6818181818182,27.0454545454545,11.6363636363636,19.2727272727273,7.68181818181818,9.13636363636364,23.7272727272727,25.7272727272727,420.681818181818,349.181818181818,429.318181818182,334.5,146.545454545455,113.727272727273,38.3636363636364,53.9090909090909,123.318181818182,11.1818181818182,5.31818181818182,12.0,4.59090909090909,8.27272727272727,15.9090909090909,22.2272727272727,75.4090909090909,28.3181818181818,5.5,25.9090909090909,17.8181818181818,3.63636363636364,9.90909090909091,16.0454545454545,21.3181818181818,4032.09090909091
EP,75.2727272727273,55.5,9.22727272727273,31.7727272727273,348.318181818182,55.2727272727273,69.3181818181818,94.5454545454545,119.818181818182,32.9090909090909,34.5,19.1818181818182,17.0,9.72727272727273,11.7272727272727,4.31818181818182,9.54545454545454,10.1363636363636,10.9545454545455,9.90909090909091,12.0,7.22727272727273,5.59090909090909,14.0,4.77272727272727,254.363636363636,216.318181818182,159.363636363636,157.863636363636,58.0909090909091,43.3636363636364,19.3181818181818,20.2727272727273,35.0454545454545,4.40909090909091,3.36363636363636,5.81818181818182,2.04545454545455,2.81818181818182,5.45454545454545,9.63636363636364,49.3181818181818,13.0,4.40909090909091,16.3181818181818,8.27272727272727,1.36363636363636,4.54545454545455,7.86363636363636,10.9090909090909,2186.09090909091
NB,37.8181818181818,47.1363636363636,35.1363636363636,8.09090909090909,90.3181818181818,25.9090909090909,38.9090909090909,82.7727272727273,86.8181818181818,20.7727272727273,39.7727272727273,16.5909090909091,17.6818181818182,11.2727272727273,11.9090909090909,3.18181818181818,9.0,12.0454545454545,12.7272727272727,10.7272727272727,13.8636363636364,4.72727272727273,4.09090909090909,12.5454545454545,6.13636363636364,303.181818181818,222.818181818182,128.318181818182,180.227272727273,70.9090909090909,42.5,17.6363636363636,17.6818181818182,17.5909090909091,2.72727272727273,1.72727272727273,5.22727272727273,1.40909090909091,4.27272727272727,2.09090909090909,5.90909090909091,71.5909090909091,13.4545454545455,2.36363636363636,17.2272727272727,6.5,1.18181818181818,5.36363636363636,7.40909090909091,10.5909090909091,1819.86363636364
BK,340.181818181818,491.909090909091,369.090909090909,108.045454545455,40.6363636363636,187.545454545455,207.0,274.681818181818,251.454545454545,111.954545454545,183.090909090909,83.4090909090909,96.3181818181818,71.5,76.6818181818182,44.5454545454545,76.9545454545455,76.0,58.9090909090909,53.5454545454545,70.8636363636364,34.9545454545455,21.3636363636364,18.7272727272727,46.0,491.545454545455,337.136363636364,361.727272727273,349.363636363636,175.954545454545,158.090909090909,73.9545454545455,65.0909090909091,73.7272727272727,20.5,20.3181818181818,50.2272727272727,10.9545454545455,40.8181818181818,21.0,23.1363636363636,134.227272727273,63.5,16.8636363636364,59.5454545454545,32.6363636363636,9.86363636363636,31.3636363636364,65.8636363636364,89.6363636363636,6172.40909090909
AS,57.1363636363636,80.3636363636364,61.0909090909091,34.0454545454545,163.818181818182,9.31818181818182,43.1363636363636,76.9545454545455,89.0,32.9545454545455,59.3636363636364,32.8636363636364,26.3636363636364,16.5454545454545,18.7272727272727,8.95454545454546,10.3181818181818,7.54545454545455,10.5454545454545,9.36363636363636,6.72727272727273,6.09090909090909,4.5,5.86363636363636,15.2272727272727,272.181818181818,212.045454545455,153.181818181818,197.863636363636,88.6818181818182,45.3636363636364,18.0909090909091,19.5909090909091,25.5454545454545,4.31818181818182,2.63636363636364,10.5909090909091,2.59090909090909,8.45454545454546,4.13636363636364,4.18181818181818,47.4090909090909,14.1363636363636,3.63636363636364,13.5909090909091,6.90909090909091,2.18181818181818,8.18181818181818,10.0909090909091,14.7727272727273,2077.18181818182
MA,97.3636363636364,118.727272727273,68.8181818181818,39.4545454545455,206.681818181818,41.3636363636364,17.2727272727273,87.1363636363636,100.409090909091,33.4090909090909,110.954545454545,76.0,62.7727272727273,37.8181818181818,39.8636363636364,30.4545454545455,25.9090909090909,27.0909090909091,83.2272727272727,71.3181818181818,72.0,24.8181818181818,23.8636363636364,37.6363636363636,38.0909090909091,463.045454545455,354.272727272727,304.818181818182,347.5,184.090909090909,111.181818181818,35.9545454545455,43.9545454545455,47.6363636363636,9.81818181818182,8.72727272727273,25.4545454545455,16.6818181818182,79.4545454545455,12.4545454545455,11.3181818181818,78.9545454545455,22.7272727272727,13.6363636363636,15.1363636363636,22.0909090909091,17.1363636363636,78.9545454545455,22.6363636363636,23.7272727272727,3923.81818181818
19,81.5909090909091,153.0,94.2727272727273,89.8181818181818,257.227272727273,79.1818181818182,85.0,16.5454545454545,21.4545454545455,17.8181818181818,63.8181818181818,74.7272727272727,84.2272727272727,60.8636363636364,65.0454545454545,35.9545454545455,60.4545454545455,61.4090909090909,88.3636363636364,89.8181818181818,106.090909090909,57.1363636363636,37.3181818181818,71.0,43.1818181818182,615.909090909091,477.818181818182,379.590909090909,412.409090909091,205.272727272727,157.0,71.5909090909091,61.3636363636364,74.7272727272727,16.5454545454545,15.6818181818182,51.5,24.4090909090909,51.1818181818182,19.2727272727273,25.6363636363636,66.4090909090909,33.4090909090909,22.5,16.8636363636364,32.0909090909091,13.9090909090909,64.5454545454545,36.8636363636364,49.4090909090909,4891.22727272727
12,90.1363636363636,204.5,108.727272727273,81.3181818181818,241.409090909091,80.7727272727273,96.3636363636364,20.0,23.9545454545455,12.5454545454545,74.1363636363636,82.6363636363636,129.318181818182,95.8181818181818,73.9545454545455,58.1363636363636,77.0454545454545,82.7272727272727,107.363636363636,132.136363636364,110.0,56.6363636363636,45.0909090909091,80.2272727272727,39.3181818181818,561.227272727273,392.5,417.909090909091,376.409090909091,180.545454545455,148.136363636364,74.3636363636364,78.1818181818182,96.9090909090909,35.0,21.6363636363636,85.2272727272727,37.2727272727273,83.7727272727273,31.0,31.3636363636364,87.3181818181818,39.1818181818182,30.5454545454545,20.8636363636364,23.9090909090909,17.6363636363636,89.3181818181818,32.2272727272727,46.2727272727273,5243.0
LM,22.5454545454545,45.9090909090909,30.6363636363636,22.4090909090909,115.681818181818,31.4545454545455,32.4090909090909,17.3636363636364,12.1363636363636,14.9090909090909,117.954545454545,116.090909090909,198.181818181818,137.863636363636,91.6818181818182,68.9090909090909,55.5909090909091,59.3181818181818,14.0,8.36363636363636,16.3181818181818,4.04545454545455,3.18181818181818,13.3181818181818,18.9090909090909,318.590909090909,253.909090909091,261.181818181818,242.181818181818,106.409090909091,77.9545454545455,30.1818181818182,41.8181818181818,44.9545454545455,5.31818181818182,57.9090909090909,97.4090909090909,5.90909090909091,10.7272727272727,5.09090909090909,4.72727272727273,17.7272727272727,5.04545454545455,52.7272727272727,14.3636363636364,35.5,8.09090909090909,17.4545454545455,33.8181818181818,44.3636363636364,3062.54545454545
FV,72.1818181818182,85.4090909090909,30.0454545454545,32.2272727272727,176.954545454545,52.7272727272727,105.272727272727,73.1363636363636,75.9545454545455,110.590909090909,38.0454545454545,150.181818181818,181.772727272727,164.727272727273,161.045454545455,71.3636363636364,59.0,55.5909090909091,26.1363636363636,10.8636363636364,16.5,8.09090909090909,15.9090909090909,31.1818181818182,66.2272727272727,379.681818181818,320.454545454545,384.727272727273,378.0,172.818181818182,132.727272727273,40.1363636363636,61.6818181818182,134.0,5.40909090909091,36.2272727272727,98.1363636363636,4.13636363636364,12.3636363636364,8.86363636363636,14.2727272727273,37.1363636363636,11.8181818181818,36.3181818181818,10.5,44.2272727272727,13.3181818181818,22.9090909090909,42.3636363636364,56.8636363636364,4330.22727272727
