,Two-Letter Station Code,Station Name,Project 3 Station Name,,,
,RM,Richmond,Richmond,,,
,EN,El Cerrito Del Norte,El Cerrito del Norte,,,
,EP,El Cerrito Plaza,El Cerrito Plaza,,,
,NB,North Berkeley,North Berkeley,,,
,BK,Berkeley,Downtown Berkeley,,,
,AS,Ashby,Ashby,,,
,MA,MacArthur,MacArthur,,,
,19,19th Street Oakland,19th Street,,,
,12,12th Street / Oakland City Center,12th Street,,,
,LM,Lake Merritt,Lake Merritt,,,
,FV,Fruitvale,Fruitvale,,,
,CL,Coliseum,Coliseum,,,
,SL,San Leandro,San Leandro,,,
,BF,Bayfair,Bay Fair,,,
,HY,Hayward,Hayward,,,
,SH,South Hayward,South Hayward,,,
,UC,Union City,Union City,,,
,FM,Fremont,Fremont,,,
,CN,Concord,Concord,,,
,PH,Pleasant Hill,Pleasant Hill,,,
,WC,Walnut Creek,Walnut Creek,,,
,LF,Lafayette,Lafayette,,,
,OR,Orinda,Orinda,,,
,RR,Rockridge,Rockridge,,,
,OW,West Oakland,West Oakland,,,
,EM,Embarcadero,Embarcadero,,,
,MT,Montgomery Street,Montgomery Street,,,
,PL,Powell Street,Powell Street,,,
,CC,Civic Center,Civic Center,,,
,16,16th Street Mission,16th Street Mission,,,
,24,24th Street Mission,24th Street Mission,,,
,GP,Glen Park,Glen Park,,,
,BP,Balboa Park,Balboa Park,,,
,DC,Daly City,Daly City,,,
,CM,Colma,Colma,,,
,CV,Castro Valley,Castro Valley,,,
,ED,Dublin/Pleasanton,Dublin,,,
,NC,North Concord,North Concord,,,
,WP,Pittsburg/Bay Point,Pittsburg,,,
,SS,South San Francisco,South San Francisco,,,
,SB,San Bruno,San Bruno,,,
,SO,San Francisco International Airport,SFO,,,
,MB,Millbrae,Millbrae,,,
,WD,West Dublin/Pleasanton,West Dublin,,,
,OA,Oakland International Airport,OAK,,,
,WS,Warm Springs,Warm Springs,,,
,AN,Antioch,Antioch,,,
,PC,Pittsburg Center,Pittsburg Center,,,
,ML,Milpitas,Milpitas,,,
,BE,Berryessa / North San José,Berryessa,,,
